date,ppo_agent,buy_and_hold,monthly_rebalance
2019-03-19,107617.89028169787,106140.2242985374,106137.01274971232
2019-03-20,107729.67463579556,106522.11557392856,106518.27937496068
2019-03-21,108211.75145233319,107058.81177651524,107063.84986543572
2019-03-22,108890.81422676083,106565.0617298322,106552.65162581744
2019-03-25,108255.68043890613,106705.91753279006,106691.16609659314
2019-03-26,108434.54347977346,106846.95779972084,106832.15923816335
2019-03-27,108608.79413453866,106680.95355187323,106671.17780287557
2019-03-28,108400.31909717227,106589.25767838485,106587.830859087
2019-03-29,108276.49856392022,106886.0244471027,106884.72027153314
2019-04-01,108650.87843753556,107034.98159080418,107028.58409645081
2019-04-02,108840.14925891317,107251.2960063914,107244.90921890372
2019-04-03,109107.69962162922,107186.82467921398,107185.47632851897
2019-04-04,109030.66831968118,107360.58717018913,107357.9843396992
2019-04-05,109239.24915998941,107578.47757428627,107578.59066710634
2019-04-08,109518.84899014105,107670.68958097325,107673.32945771504
2019-04-09,109631.24046452086,107661.28203497609,107658.3390126699
2019-04-10,109624.22363888066,107974.66228683028,107973.49246925337
2019-04-11,110015.64726967072,107520.26188079771,107520.40979947126
2019-04-12,109429.44177172921,107584.3990930516,107593.02349583094
2019-04-15,109511.03684984478,107585.58978633961,107592.50685252828
2019-04-16,109515.02999233441,107350.07329536667,107365.47033466677
2019-04-17,109210.40230765486,107346.01246560049,107363.07556332447
2019-04-18,109197.8227776407,107542.32746072885,107557.0290098241
2019-04-22,109449.91767367824,107518.44150395704,107539.03634699222
2019-04-23,109419.530615113,107986.32490279703,108021.14847601885
2019-04-24,110014.72597378309,108117.27777528393,108139.09822931317
2019-04-25,110171.52515792975,108182.06682998737,108207.96602822424
2019-04-26,110249.07854781984,108521.30463414527,108544.37195014297
2019-04-29,110678.72841123233,108362.41080287167,108394.75805370118
2019-04-30,110476.16257338788,108382.89658722226,108401.57199907668
2019-05-01,110502.26930663592,108100.05783999071,108108.61642877119
2019-05-02,110137.31139474212,107777.9311906057,107786.3974854396
2019-05-03,109722.06274498356,108521.4656047665,108528.13221061256
2019-05-06,110668.2458914587,108389.68737243855,108395.40960207926
2019-05-07,110497.76109248277,107845.21493324418,107852.10415056568
2019-05-08,109801.43435454584,107614.21629768015,107620.3234854824
2019-05-09,109507.44841443513,107578.94180691936,107589.17570844929
2019-05-10,109455.14262371024,107725.35470866735,107732.92363406195
