date,ppo_agent,buy_and_hold,monthly_rebalance
2020-12-23,145450.51055629575,147808.1847694652,146162.19283103576
2020-12-24,146392.67996540485,148288.43356064847,146639.21894183382
2020-12-28,146972.71106281818,148745.00772373905,147091.42153247958
2020-12-29,146459.04467824762,148788.13792519295,147138.70371259647
2020-12-30,146980.64062834598,149123.7417417961,147475.9472127142
2020-12-31,148087.47111422548,149505.66760584846,147858.4413288608
2021-01-04,148632.62582827083,149303.2111250544,147670.72046868672
2021-01-05,151862.42250003168,149621.72568429785,147982.17799703576
2021-01-06,152305.44918615418,148288.5078835256,146658.89875532815
2021-01-07,149861.3127271502,149115.9931197754,147476.48347299392
2021-01-08,149527.61499560397,148550.17282148858,146916.4725628633
2021-01-11,144526.60142732493,147810.52994881797,146172.68972980717
2021-01-12,144239.1800782392,147937.67243629543,146295.10052312125
2021-01-13,145149.91191980624,148422.92821914508,146770.00551129342
2021-01-14,144550.66687824432,147866.74157753144,146222.4432736708
2021-01-15,144465.07661554706,147167.2184828745,145525.41098380322
2021-01-19,142706.22812634788,148172.17100789037,146519.9793429799
2021-01-20,143901.67191829364,149783.2836019826,148122.2874513784
2021-01-21,146212.732006273,149821.1855719369,148175.23433900447
2021-01-22,146119.29894206024,149489.92863270052,147842.13537623835
2021-01-25,144988.2715702655,150233.12740658163,148575.62887255536
2021-01-26,145127.80488930803,150099.2496904607,148447.7428739533
2021-01-27,144774.01662716919,148417.57217666178,146735.75415113618
2021-01-28,143845.16049729846,148709.22133380943,147033.07014344912
2021-01-29,143977.69491128987,147299.7946777983,145616.42493677212
2021-02-01,143895.21581429354,148834.25100387714,147141.3011528531
2021-02-02,145240.07884938308,149186.68177671125,147501.31497125854
2021-02-03,143510.93300364944,148787.3426573849,147108.8983886538
2021-02-04,143290.31889978994,148754.58849674946,147104.18035250762
2021-02-05,140266.36584345577,149019.88092858903,147370.46427416225
2021-02-08,141620.7544818275,149863.08889421477,148206.9525600097
2021-02-09,143026.54416766658,149959.5892581885,148298.23631357276
2021-02-10,143484.15160610166,150187.5251722852,148510.69303150775
2021-02-11,144003.58542825357,149973.1956721519,148316.6810400037
2021-02-12,142773.72120395838,149825.40335879236,148199.09991368005
2021-02-16,142342.01007401425,148832.02175716023,147244.97096852958
2021-02-17,140329.18235003494,148547.11599124366,146957.18657541907
2021-02-18,138773.41120329217,148168.75875731083,146575.70496850586
2021-02-19,138758.05922527667,147716.23629208066,146133.3377983495
2021-02-22,139309.21366393755,146940.71691767866,145315.55647464405
2021-02-23,141338.28432070054,146736.56212577765,145119.21738689713
2021-02-24,141017.2381663697,147088.523423268,145501.9788503192
2021-02-25,140922.1912331249,144317.49173270602,142732.36140351402
2021-02-26,138299.28478396125,144548.42717131154,142903.20764737605
2021-03-01,135056.55988551892,145687.02111323673,144089.1355473474
2021-03-02,134837.44698242916,145150.494541995,143543.14073807833
2021-03-03,135551.04671897483,143291.32736126534,141697.4917545387
2021-03-04,134063.89062791807,141998.31760752443,140420.34163841308
2021-03-05,132756.19120381464,143021.64709893113,141429.8136896942
2021-03-08,132852.491021791,141550.36183489248,139983.150210361
2021-03-09,131487.7396667311,144068.2110022944,142446.1866135233
2021-03-10,134258.06140648792,144367.33041664018,142744.65443467512
2021-03-11,134934.42459750103,145091.79097013726,143466.50872040636
2021-03-12,134823.5074674108,144274.27360361812,142676.16495218102
2021-03-15,134780.43393244376,145051.14430491973,143445.05069902996
2021-03-16,135371.60606566424,145084.0114657673,143483.22333657418
